Title,Link,Description
"[제12회 어린이안전대상-대상(대통령상)│세종시] 시민·어린이, 안전도시 만...",http://www.naeil.com/news_view/?id_art=445552,"신도심 내 신설예정인 유·초교 설계에 세종시와 교육청, 경찰청, 행복청, LH가 참여해 승하차구역을... [관련기사] ▶ 세종시, 어린이안전대상 대통령상 ▶ [제12회 어린이안전대상-본상(국무총리상)│전남 해남군]... "
[제12회 어린이안전대상-본상(행정안전부장관상)│서울특별시 노원구] 아픈 아...,http://www.naeil.com/news_view/?id_art=445554,"지난 2019년 5월 전국 지자체 가운데 처음으로 관련 조례를 제정하고 경찰서와 협약, 아동보호협업체계를... (국무총리상)│전남 해남군] 안전체험 탐방단 활동 5년간 이어와 ▶ [제12회 어린이안전대상-본상... "
[제12회 어린이안전대상-본상(행정안전부장관상)│경기도 안양시] &apos;인공지능+...,http://www.naeil.com/news_view/?id_art=445555,지난 7월엔 경찰청이 안양시를 첨단 ICT교차로 표준모델 시범운영 지지체로 선정하기도 했다. 최대호... (국무총리상)│전남 해남군] 안전체험 탐방단 활동 5년간 이어와 ▶ [제12회 어린이안전대상-본상... 
농민 속여 태양광 발전시설 계약금 가로챈 일당 검찰송치,https://n.news.naver.com/mnews/article/277/0005193837?sid=102,전남경찰청 반부패·경제범죄수사1대는 특정경제범죄가중처벌법상 사기 혐의로 A씨 등 13명을 구속해 검찰에 송치했다고 19일 밝혔다. 경찰은 사기 범죄에 가담한 18명도 같은 혐의로 불구속 입건했다. A씨 등은... 
광주 13살 정창현군 실종... “키 151㎝·몸무게 36㎏ 마른 체격”,https://idsn.co.kr/news/view/1065581089032916,시민분들은 경찰(182)에 곧바로 연락을 부탁드린다”고 당부했다. 광주에서는 지난 17일부터 사흘간 최대 18.8㎝(남구 노대동)의 눈이 내리는 등 폭설이 이어지고 있다. 광주시·전남도교육청에 따르면 이날 광주 지역 학교... 
집값 하락은 ‘증여성 직거래’ 기회?,https://n.news.naver.com/mnews/article/016/0002080007?sid=101,"지방에서는 대구의 증여 비중이 11.9%로 서울 다음으로 높았고 제주(11.8%), 전남(11.7%), 대전(9.9%)이 뒤를... 등 위법의심행위에 대해선 국세청, 경찰청, 지방자치단체 등 관계기관에 통보해 엄중 조치할 방침이다."
나주에 &apos;우회전 신호등&apos; 첫 등장…&quot;얌체 운전자 사라지길&quot;,https://n.news.naver.com/mnews/article/003/0011598205?sid=102,"기사내용 요약 나주경찰서, 지난 8월부터 지역내 12곳서 21개 운영 중 내년 도로교통법 개정 시행규칙 앞두고... &quot; 지난 16일 오전 전남 나주 혁신도시 한 삼거리. 횡단보도 초록불이 일제히 켜지면서 보행신호를 기다리던... "
전남 광주 폭설 속 10대 중학생 사흘째 행방 묘연…&quot;실종경보 발령&quot;,https://www.jejutwn.com/news/article.html?no=156327,대설특보가 내린 광주광역시에서 10대 중학생이 실종돼 경찰이 수색에 나섰다. 19일 경찰에 따르면 광주북부경찰서는 광주 북구 일곡마을로에서 실종된 중학생 정창현(13)군에 대한 실종경보를 발령했다. 경찰은 주거지... 
"해경, 전남 도서지역 응급환자 3명 이송",https://www.gukjenews.com/news/articleView.html?idxno=2617263,"사진제공=목포해양경찰 해경이 지난 주말 전남 도서지역에서 발생한 응급환자 3명을 육지로 이송했다. 19일 목포해경에 따르면 18일 오후 4시 34분께 신안군 도초도에서 주민 A씨(50대, 남)가 글라인더 작업 중 손을... "
"광주·전남, 눈길 빙판길 사고 잇따라...&apos;미끄러지고 넘어지고&apos;",https://idsn.co.kr/news/view/1065576773062994,19일 경찰과 소방당국에 따르면 이날 오전에만 광주·전남에서 보행자 낙상사고 8건이 발생한 것으로 잠정 집계됐다. 이날 오전 8시 37분경 광주 북구 오치동의 한 거리에서 목욕탕에 가던 60대 남성이 눈길에 미끄러져... 
